2026/09/08 07:09:49.300, NVIDIA GeForce RTX 3090, P8, 270.00 W, 41.28 W, 40, 1 MiB, 24576 MiB, 0 %
2026/09/08 07:09:59.309, NVIDIA GeForce RTX 3090, P2, 270.00 W, 162.10 W, 57, 1492 MiB, 24576 MiB, 31 %
2026/09/08 07:10:09.310, NVIDIA GeForce RTX 3090, P2, 270.00 W, 180.37 W, 61, 4710 MiB, 24576 MiB, 39 %
2026/09/08 07:10:19.311, NVIDIA GeForce RTX 3090, P2, 270.00 W, 171.77 W, 62, 4710 MiB, 24576 MiB, 32 %
2026/09/08 07:10:29.313, NVIDIA GeForce RTX 3090, P2, 270.00 W, 176.01 W, 62, 4710 MiB, 24576 MiB, 39 %
2026/09/08 07:10:39.314, NVIDIA GeForce RTX 3090, P2, 270.00 W, 175.10 W, 63, 4710 MiB, 24576 MiB, 34 %
2026/09/08 07:10:49.315, NVIDIA GeForce RTX 3090, P2, 270.00 W, 164.45 W, 63, 4710 MiB, 24576 MiB, 37 %
2026/09/08 07:10:59.316, NVIDIA GeForce RTX 3090, P2, 270.00 W, 172.12 W, 64, 4710 MiB, 24576 MiB, 25 %
2026/09/08 07:11:09.318, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.63 W, 63, 4710 MiB, 24576 MiB, 27 %
