timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/09 11:21:00.750, 270.00 W, 40.99 W, 39, 1 MiB, 0 %
2026/09/09 11:21:05.758, 270.00 W, 156.59 W, 54, 872 MiB, 28 %
2026/09/09 11:21:10.759, 270.00 W, 157.28 W, 56, 876 MiB, 25 %
2026/09/09 11:21:15.760, 270.00 W, 158.42 W, 57, 878 MiB, 26 %
2026/09/09 11:21:20.761, 270.00 W, 158.88 W, 58, 880 MiB, 26 %
2026/09/09 11:21:25.762, 270.00 W, 159.68 W, 59, 884 MiB, 26 %
2026/09/09 11:21:30.762, 270.00 W, 159.70 W, 59, 886 MiB, 27 %
2026/09/09 11:21:35.763, 270.00 W, 160.09 W, 60, 908 MiB, 26 %
