timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/13 14:52:01.964, 270.00 W, 25.97 W, 43, 1 MiB, 0 %
2026/09/13 14:52:06.973, 270.00 W, 142.47 W, 57, 818 MiB, 0 %
2026/09/13 14:52:11.974, 270.00 W, 146.04 W, 59, 818 MiB, 0 %
2026/09/13 14:52:16.974, 270.00 W, 148.16 W, 60, 818 MiB, 0 %
2026/09/13 14:52:21.975, 270.00 W, 152.19 W, 61, 878 MiB, 8 %
2026/09/13 14:52:26.976, 270.00 W, 155.38 W, 62, 878 MiB, 10 %
2026/09/13 14:52:31.977, 270.00 W, 155.58 W, 62, 878 MiB, 3 %
